state,district,mukim
Terengganu,Kemaman,Mukim Banggul
Terengganu,Kemaman,Mukim Binjai
Terengganu,Kemaman,Mukim Cukai
Terengganu,Kemaman,Mukim Hulu Cukai
Terengganu,Kemaman,Mukim Hulu Jabur
Terengganu,Kemaman,Mukim Kemasik
Terengganu,Kemaman,Mukim Kertih
Terengganu,Kemaman,Mukim Kijal
Terengganu,Kemaman,Mukim Pasir Semut
Terengganu,Kemaman,Mukim Tebak
Terengganu,Kemaman,Mukim Teluk Kalung
Terengganu,Kuala Nerus,Mukim Batu Rakit
Terengganu,Kuala Nerus,Mukim Kuala Nerus
Terengganu,Kuala Nerus,Mukim Pakoh
Terengganu,Kuala Nerus,Mukim Pulau Redang
Terengganu,Kuala Terengganu,Mukim Atas Tol
Terengganu,Kuala Terengganu,Mukim Batu Buruk
Terengganu,Kuala Terengganu,Mukim Belara
Terengganu,Kuala Terengganu,Mukim Bukit Besar
Terengganu,Kuala Terengganu,Mukim Cabang Tiga
Terengganu,Kuala Terengganu,Mukim Cenering
Terengganu,Kuala Terengganu,Mukim Gelugur Kedai
Terengganu,Kuala Terengganu,Mukim Gelugur Raja
Terengganu,Kuala Terengganu,Mukim Kepung
Terengganu,Kuala Terengganu,Mukim Kuala Ibai
Terengganu,Kuala Terengganu,Mukim Kubang Parit
Terengganu,Kuala Terengganu,Mukim Losong
Terengganu,Kuala Terengganu,Mukim Manir
Terengganu,Kuala Terengganu,Mukim Paluh
Terengganu,Kuala Terengganu,Mukim Pengadang Buluh
Terengganu,Kuala Terengganu,Mukim Pulau-Pulau
Terengganu,Kuala Terengganu,Mukim Rengas
Terengganu,Kuala Terengganu,Mukim Serada
Terengganu,Kuala Terengganu,Mukim Tuk Jamal
Terengganu,Marang,Mukim Alur Limbat
Terengganu,Marang,Mukim Bukit Payung
Terengganu,Marang,Mukim Jerung
Terengganu,Marang,Mukim Mercang
Terengganu,Marang,Mukim Pulau Kerengga
Terengganu,Marang,Mukim Rusila
Terengganu,Setiu,Mukim Caluk
Terengganu,Setiu,Mukim Guntung
Terengganu,Setiu,Mukim Hulu Nerus
Terengganu,Setiu,Mukim Hulu Setiu
Terengganu,Setiu,Mukim Merang
Terengganu,Setiu,Mukim Pantai
Terengganu,Setiu,Mukim Tasik
W.P. Kuala Lumpur,Kuala Lumpur,Bandar Kuala Lumpur
W.P. Kuala Lumpur,Kuala Lumpur,Mukim Batu
W.P. Kuala Lumpur,Kuala Lumpur,Mukim Kuala Lumpur
W.P. Kuala Lumpur,Kuala Lumpur,Mukim Petaling
W.P. Kuala Lumpur,Kuala Lumpur,Mukim Setapak
W.P. Labuan,Labuan,Desa
W.P. Putrajaya,Putrajaya,Bandar Putrajaya
